Cell name,Leiden cluster,Cell type,Developmental stage
cell_1,54,Epiblast,E6.5
cell_2,38,Primitive Streak,E6.5
cell_6,0,Epiblast,E6.5
cell_8,0,Epiblast,E6.5
cell_9,0,Epiblast,E6.5
cell_10,0,Epiblast,E6.5
cell_11,0,Epiblast,E6.5
cell_13,0,Epiblast,E6.5
cell_14,49,Epiblast,E6.5
cell_15,2,Epiblast,E6.5
cell_17,5,Primitive Streak,E6.5
cell_18,25,Epiblast,E6.5
cell_21,0,Epiblast,E6.5
cell_22,0,Epiblast,E6.5
cell_23,54,Epiblast,E6.5
cell_26,5,Epiblast,E6.5
cell_27,25,Epiblast,E6.5
cell_28,49,Epiblast,E6.5
cell_29,2,Epiblast,E6.5
cell_31,2,Epiblast,E6.5
cell_32,25,Epiblast,E6.5
cell_33,45,Primitive Streak,E6.5
cell_35,7,Primitive Streak,E6.5
cell_37,21,Epiblast,E6.5
cell_38,7,Primitive Streak,E6.5
cell_39,0,Epiblast,E6.5
cell_42,0,Epiblast,E6.5
cell_43,0,Epiblast,E6.5
cell_44,0,Epiblast,E6.5
cell_46,38,Epiblast,E6.5
cell_47,25,Primitive Streak,E6.5
cell_49,0,Primitive Streak,E6.5
cell_52,0,Epiblast,E6.5
cell_59,45,Primitive Streak,E6.5
cell_61,25,Epiblast,E6.5
cell_62,0,Epiblast,E6.5
cell_63,54,Epiblast,E6.5
cell_65,0,Epiblast,E6.5
cell_66,0,Epiblast,E6.5
cell_67,0,Epiblast,E6.5
cell_68,5,Epiblast,E6.5
cell_69,0,Epiblast,E6.5
cell_70,0,Epiblast,E6.5
cell_71,45,Primitive Streak,E6.5
cell_74,0,Epiblast,E6.5
cell_76,0,Epiblast,E6.5
cell_79,0,Epiblast,E6.5
cell_80,25,Epiblast,E6.5
cell_81,2,Epiblast,E6.5
cell_85,45,Primitive Streak,E6.5
cell_86,0,Epiblast,E6.5
cell_87,61,Epiblast,E6.5
cell_88,5,Primitive Streak,E6.5
cell_89,25,Epiblast,E6.5
cell_90,54,Epiblast,E6.5
cell_94,2,Epiblast,E6.5
cell_97,7,Epiblast,E6.5
cell_98,0,Epiblast,E6.5
cell_99,5,Primitive Streak,E6.5
cell_100,0,Epiblast,E6.5
cell_102,5,Epiblast,E6.5
cell_104,0,Epiblast,E6.5
cell_106,0,Epiblast,E6.5
cell_110,2,Epiblast,E6.5
cell_111,7,Primitive Streak,E6.5
cell_114,5,Primitive Streak,E6.5
cell_116,5,Primitive Streak,E6.5
cell_117,5,Primitive Streak,E6.5
cell_118,2,Epiblast,E6.5
cell_120,5,Epiblast,E6.5
cell_121,0,Epiblast,E6.5
cell_122,0,Epiblast,E6.5
cell_123,2,Epiblast,E6.5
cell_126,0,Epiblast,E6.5
cell_127,0,Epiblast,E6.5
cell_128,0,Epiblast,E6.5
cell_129,0,Epiblast,E6.5
cell_130,25,Primitive Streak,E6.5
cell_131,44,Primitive Streak,E6.5
cell_133,0,Epiblast,E6.5
cell_134,0,Epiblast,E6.5
cell_135,25,Epiblast,E6.5
cell_137,0,Epiblast,E6.5
cell_139,25,Epiblast,E6.5
cell_140,7,Primitive Streak,E6.5
cell_141,7,Primitive Streak,E6.5
cell_142,2,Epiblast,E6.5
cell_143,54,Epiblast,E6.5
cell_144,2,Epiblast,E6.5
cell_145,2,Epiblast,E6.5
cell_146,25,Epiblast,E6.5
cell_147,0,Epiblast,E6.5
cell_148,0,Epiblast,E6.5
cell_149,5,Primitive Streak,E6.5
cell_150,0,Epiblast,E6.5
cell_152,2,Epiblast,E6.5
cell_153,0,Epiblast,E6.5
cell_154,0,Epiblast,E6.5
cell_155,5,Primitive Streak,E6.5
cell_157,2,Epiblast,E6.5
cell_158,5,Primitive Streak,E6.5
cell_161,0,Epiblast,E6.5
cell_162,0,Epiblast,E6.5
cell_163,0,Epiblast,E6.5
cell_164,5,Primitive Streak,E6.5
cell_165,2,Epiblast,E6.5
cell_168,0,Epiblast,E6.5
cell_171,0,Epiblast,E6.5
cell_173,0,Epiblast,E6.5
cell_175,7,Primitive Streak,E6.5
cell_177,0,Epiblast,E6.5
cell_178,0,Epiblast,E6.5
cell_179,0,Epiblast,E6.5
cell_181,2,Epiblast,E6.5
cell_182,45,Epiblast,E6.5
cell_185,2,Epiblast,E6.5
cell_186,47,Epiblast,E6.5
cell_187,5,Epiblast,E6.5
cell_188,25,Epiblast,E6.5
cell_189,7,Epiblast,E6.5
cell_190,45,Epiblast,E6.5
cell_191,0,Epiblast,E6.5
cell_192,2,Epiblast,E6.5
cell_194,25,Epiblast,E6.5
cell_196,2,Epiblast,E6.5
cell_197,0,Epiblast,E6.5
cell_200,0,Epiblast,E6.5
cell_202,0,Epiblast,E6.5
cell_203,2,Epiblast,E6.5
cell_204,0,Epiblast,E6.5
cell_206,0,Epiblast,E6.5
cell_207,2,Epiblast,E6.5
cell_209,0,Epiblast,E6.5
cell_210,2,Epiblast,E6.5
cell_212,44,Primitive Streak,E6.5
cell_213,0,Epiblast,E6.5
cell_217,2,Epiblast,E6.5
cell_219,0,Epiblast,E6.5
cell_220,2,Epiblast,E6.5
cell_223,0,Epiblast,E6.5
cell_225,45,Primitive Streak,E6.5
cell_226,7,Epiblast,E6.5
cell_227,5,Primitive Streak,E6.5
cell_230,0,Epiblast,E6.5
cell_232,54,Epiblast,E6.5
cell_233,0,Epiblast,E6.5
cell_236,25,Primitive Streak,E6.5
cell_238,33,Epiblast,E6.5
cell_239,7,Primitive Streak,E6.5
cell_241,0,Epiblast,E6.5
cell_243,0,Epiblast,E6.5
cell_245,5,Primitive Streak,E6.5
cell_246,2,Epiblast,E6.5
cell_247,7,Epiblast,E6.5
cell_248,0,Epiblast,E6.5
cell_250,0,Epiblast,E6.5
cell_251,0,Epiblast,E6.5
cell_252,45,Epiblast,E6.5
cell_253,0,Epiblast,E6.5
cell_254,0,Epiblast,E6.5
cell_257,0,Epiblast,E6.5
cell_258,0,Epiblast,E6.5
cell_259,45,Primitive Streak,E6.5
cell_261,49,Epiblast,E6.5
cell_262,5,Primitive Streak,E6.5
cell_263,1,Nascent mesoderm,E6.5
cell_264,0,Epiblast,E6.5
cell_267,2,Epiblast,E6.5
cell_268,2,Epiblast,E6.5
cell_270,49,Epiblast,E6.5
cell_271,0,Epiblast,E6.5
cell_273,0,Epiblast,E6.5
cell_274,0,Epiblast,E6.5
cell_276,47,Primitive Streak,E6.5
cell_277,7,Epiblast,E6.5
cell_278,0,Epiblast,E6.5
cell_279,0,Epiblast,E6.5
cell_280,0,Epiblast,E6.5
cell_281,0,Epiblast,E6.5
cell_282,0,Epiblast,E6.5
cell_283,0,Epiblast,E6.5
cell_285,61,Epiblast,E6.5
cell_286,2,Epiblast,E6.5
cell_288,5,Primitive Streak,E6.5
cell_289,0,Epiblast,E6.5
cell_290,0,Epiblast,E6.5
cell_292,25,Epiblast,E6.5
cell_293,0,Epiblast,E6.5
cell_296,44,Primitive Streak,E6.5
cell_297,0,Epiblast,E6.5
cell_299,7,Primitive Streak,E6.5
cell_302,0,Epiblast,E6.5
cell_303,44,Primitive Streak,E6.5
cell_306,0,Epiblast,E6.5
cell_307,0,Epiblast,E6.5
cell_308,0,Epiblast,E6.5
cell_309,2,Epiblast,E6.5
cell_311,2,Epiblast,E6.5
cell_312,0,Epiblast,E6.5
cell_313,0,Epiblast,E6.5
cell_314,5,Primitive Streak,E6.5
cell_316,0,Epiblast,E6.5
cell_317,5,Epiblast,E6.5
cell_318,0,Epiblast,E6.5
cell_319,7,Primitive Streak,E6.5
cell_320,5,Epiblast,E6.5
cell_321,0,Epiblast,E6.5
cell_322,5,Epiblast,E6.5
cell_323,0,Epiblast,E6.5
cell_324,0,Epiblast,E6.5
cell_325,0,Epiblast,E6.5
cell_326,0,Epiblast,E6.5
cell_327,0,Epiblast,E6.5
cell_330,0,Epiblast,E6.5
cell_333,0,Epiblast,E6.5
cell_334,0,Epiblast,E6.5
cell_335,7,Epiblast,E6.5
cell_336,5,Primitive Streak,E6.5
cell_337,0,Epiblast,E6.5
cell_338,62,Epiblast,E6.5
cell_340,5,Primitive Streak,E6.5
cell_341,0,Epiblast,E6.5
cell_342,5,Primitive Streak,E6.5
cell_344,45,Epiblast,E6.5
cell_345,0,Epiblast,E6.5
cell_346,0,Epiblast,E6.5
cell_350,0,Epiblast,E6.5
cell_352,0,Epiblast,E6.5
cell_354,44,Primitive Streak,E6.5
cell_357,38,Primitive Streak,E6.5
cell_359,0,Epiblast,E6.5
cell_360,2,Epiblast,E6.5
cell_362,19,Rostral neurectoderm,E7.5
cell_363,12,Blood progenitors 2,E7.5
cell_365,27,Rostral neurectoderm,E7.5
cell_367,27,Rostral neurectoderm,E7.5
cell_369,26,Mixed mesoderm,E7.5
cell_371,20,Rostral neurectoderm,E7.5
cell_373,32,Rostral neurectoderm,E7.5
cell_375,9,Intermediate mesoderm,E7.5
cell_376,20,Rostral neurectoderm,E7.5
