Cell name,Leiden cluster,Cell type,
YX_1009901001_A10,0,Muscle,
YX_1009901001_A11,29,Neoblast,
YX_1009901001_A12,4,Neoblast,
YX_1009901001_A13,15,Neoblast,
YX_1009901001_A14,16,Epidermal2,
YX_1009901001_A15,4,Neoblast,
YX_1009901001_A16,4,Neoblast,
YX_1009901001_A19,41,Muscle,
YX_1009901001_A20,26,Neoblast,
YX_1009901001_A22,25,Neoblast,
YX_1009901001_A23,18,Neural,
YX_1009901001_A24,17,Muscle,
YX_1009901001_A3,19,Neural,
YX_1009901001_A5,23,Epidermal_prog1,
YX_1009901001_A7,2,Cathepsin,
YX_1009901001_A9,2,Cathepsin,
YX_1009901001_B10,35,Parenchymal,
YX_1009901001_B11,30,Neoblast,
YX_1009901001_B15,18,Neural,
YX_1009901001_B16,6,Muscle,
YX_1009901001_B17,9,Muscle,
YX_1009901001_B18,35,Neural,
YX_1009901001_B19,4,Neoblast,
YX_1009901001_B2,13,Muscle,
YX_1009901001_B20,0,Muscle,
YX_1009901001_B21,15,Neoblast,
YX_1009901001_B22,2,Cathepsin,
YX_1009901001_B23,22,Muscle,
YX_1009901001_B24,46,Parenchymal,
YX_1009901001_B3,23,Epidermal_prog1,
YX_1009901001_B4,16,Epidermal1,
YX_1009901001_B5,35,Neural,
YX_1009901001_B6,2,Parenchymal,
YX_1009901001_B7,8,Epidermal_prog3,
YX_1009901001_B8,12,Muscle,
YX_1009901001_B9,13,Muscle,
YX_1009901001_C1,1,Neoblast,
YX_1009901001_C10,4,Neoblast,
YX_1009901001_C11,19,Neural,
YX_1009901001_C12,26,Neoblast,
YX_1009901001_C13,3,Parenchymal,
YX_1009901001_C14,18,Neural,
YX_1009901001_C19,6,Muscle,
YX_1009901001_C2,19,Neural,
YX_1009901001_C20,5,Cathepsin,
YX_1009901001_C21,15,Neoblast,
YX_1009901001_C22,7,Neural,
YX_1009901001_C23,29,Neoblast,
YX_1009901001_C24,35,Neural,
YX_1009901001_C3,3,Parenchymal,
YX_1009901001_C4,13,Muscle,
YX_1009901001_C5,4,Neoblast,
YX_1009901001_C6,7,Neural,
YX_1009901001_C7,29,Neoblast,
YX_1009901001_C8,14,Neural,
YX_1009901001_C9,21,Parenchymal,
YX_1009901001_D1,38,Muscle,
YX_1009901001_D11,18,Neural,
YX_1009901001_D12,20,Neural,
YX_1009901001_D13,17,Neural,
YX_1009901001_D14,0,Muscle,
YX_1009901001_D15,6,Muscle,
YX_1009901001_D16,1,Neoblast,
YX_1009901001_D17,7,Neural,
YX_1009901001_D19,15,Neoblast,
YX_1009901001_D2,0,Muscle,
YX_1009901001_D20,2,Cathepsin,
YX_1009901001_D21,42,Neural,
YX_1009901001_D22,9,Muscle,
YX_1009901001_D23,9,Muscle,
YX_1009901001_D3,12,Muscle,
YX_1009901001_D4,0,Muscle,
YX_1009901001_D5,5,Cathepsin,
YX_1009901001_D6,23,Epidermal_prog1,
YX_1009901001_D9,33,Neoblast,
YX_1009901001_E11,35,Neural,
YX_1009901001_E12,8,Epidermal_prog3,
YX_1009901001_E13,2,Cathepsin,
YX_1009901001_E14,19,Neural,
YX_1009901001_E16,15,Neoblast,
YX_1009901001_E17,8,Epidermal_prog3,
YX_1009901001_E19,17,Parenchymal,
YX_1009901001_E2,8,Epidermal_prog3,
YX_1009901001_E21,13,Muscle,
YX_1009901001_E23,10,Muscle,
YX_1009901001_E24,6,Muscle,
YX_1009901001_E4,21,Parenchymal,
YX_1009901001_E5,2,Cathepsin,
YX_1009901001_E7,1,Neoblast,
YX_1009901001_E9,24,Parenchymal,
YX_1009901001_F1,39,Muscle,
YX_1009901001_F10,17,Parenchymal,
YX_1009901001_F12,1,Neoblast,
YX_1009901001_F14,10,Muscle,
YX_1009901001_F15,15,Neoblast,
YX_1009901001_F16,28,Neural,
YX_1009901001_F18,13,Muscle,
YX_1009901001_F2,2,Cathepsin,
YX_1009901001_F20,0,Muscle,
YX_1009901001_F21,14,Neural,
YX_1009901001_F22,13,Muscle,
YX_1009901001_F3,3,Parenchymal,
YX_1009901001_F5,5,Cathepsin,
YX_1009901001_F6,28,Neural,
YX_1009901001_F7,22,Muscle,
YX_1009901001_F8,11,Parenchymal,
YX_1009901001_F9,17,Neural,
YX_1009901001_G1,6,Muscle,
YX_1009901001_G11,1,Neoblast,
YX_1009901001_G12,4,Neoblast,
YX_1009901001_G13,12,Muscle,
YX_1009901001_G14,9,Muscle,
YX_1009901001_G15,24,Epidermal_prog2,
YX_1009901001_G16,6,Muscle,
YX_1009901001_G18,0,Muscle,
YX_1009901001_G2,15,Neoblast,
YX_1009901001_G24,20,Neural,
YX_1009901001_G4,2,Cathepsin,
YX_1009901001_G5,2,Cathepsin,
YX_1009901001_G6,8,Epidermal_prog2,
YX_1009901001_G7,9,Muscle,
YX_1009901001_G8,42,Neural,
YX_1009901001_G9,26,Neoblast,
YX_1009901001_H1,14,Neural,
YX_1009901001_H10,12,Muscle,
YX_1009901001_H11,35,Parenchymal,
YX_1009901001_H12,14,Neural,
YX_1009901001_H13,31,Parenchymal,
YX_1009901001_H14,4,Neoblast,
YX_1009901001_H15,32,Intestine,
YX_1009901001_H16,31,Parenchymal,
YX_1009901001_H17,22,Muscle,
YX_1009901001_H18,19,Parenchymal,
YX_1009901001_H19,44,Neural,
YX_1009901001_H2,6,Muscle,
YX_1009901001_H20,12,Muscle,
YX_1009901001_H22,26,Neoblast,
YX_1009901001_H24,23,Epidermal_prog1,
YX_1009901001_H3,29,Neoblast,
YX_1009901001_H4,8,Epidermal_prog2,
YX_1009901001_H5,23,Epidermal_prog1,
YX_1009901001_H6,28,Neural,
YX_1009901001_H7,20,Neural,
YX_1009901001_H8,12,Muscle,
YX_1009901001_H9,17,Epidermal_prog1,
YX_1009901001_I1,7,Neural,
YX_1009901001_I10,1,Neoblast,
YX_1009901001_I12,20,Neural,
YX_1009901001_I13,3,Parenchymal,
YX_1009901001_I14,3,Parenchymal,
YX_1009901001_I15,9,Muscle,
YX_1009901001_I18,29,Neoblast,
YX_1009901001_I19,0,Muscle,
YX_1009901001_I2,21,Parenchymal,
YX_1009901001_I20,24,Parenchymal,
YX_1009901001_I21,27,Neoblast,
YX_1009901001_I22,1,Neoblast,
YX_1009901001_I23,37,Cathepsin,
YX_1009901001_I3,15,Neoblast,
YX_1009901001_I4,3,Parenchymal,
YX_1009901001_I6,5,Neural,
YX_1009901001_I8,2,Cathepsin,
YX_1009901001_I9,40,Neural,
YX_1009901001_J1,42,Neural,
YX_1009901001_J10,21,Parenchymal,
YX_1009901001_J11,23,Epidermal_prog1,
YX_1009901001_J12,1,Neoblast,
YX_1009901001_J13,7,Neural,
YX_1009901001_J14,2,Cathepsin,
YX_1009901001_J17,14,Neural,
YX_1009901001_J18,26,Neoblast,
YX_1009901001_J19,24,Epidermal_prog2,
YX_1009901001_J2,29,Neoblast,
YX_1009901001_J21,9,Muscle,
YX_1009901001_J22,27,Neoblast,
YX_1009901001_J23,28,Neural,
YX_1009901001_J24,21,Parenchymal,
YX_1009901001_J3,6,Muscle,
YX_1009901001_J4,17,Neural,
YX_1009901001_J5,1,Neoblast,
YX_1009901001_J7,19,Neural,
YX_1009901001_J9,11,Parenchymal,
YX_1009901001_K1,0,Muscle,
YX_1009901001_K10,4,Neoblast,
YX_1009901001_K11,8,Epidermal_prog3,
YX_1009901001_K12,13,Muscle,
YX_1009901001_K13,0,Muscle,
YX_1009901001_K14,14,Neural,
YX_1009901001_K18,30,Neoblast,
YX_1009901001_K2,20,Neural,
YX_1009901001_K20,4,Neoblast,
YX_1009901001_K21,28,Neural,
YX_1009901001_K23,12,Muscle,
YX_1009901001_K24,9,Muscle,
YX_1009901001_K3,0,Muscle,
YX_1009901001_K6,0,Muscle,
YX_1009901001_K7,7,Neural,
YX_1009901001_K9,15,Neoblast,
YX_1009901001_L1,20,Neural,
YX_1009901001_L10,26,Neoblast,
YX_1009901001_L11,7,Neural,
YX_1009901001_L12,6,Muscle,
YX_1009901001_L13,10,Muscle,
YX_1009901001_L14,8,Epidermal_prog3,
YX_1009901001_L15,29,Neoblast,
YX_1009901001_L17,32,Neoblast,
YX_1009901001_L18,21,Parenchymal,
YX_1009901001_L19,5,Cathepsin,
YX_1009901001_L2,35,Neural,
YX_1009901001_L20,20,Neural,
YX_1009901001_L23,28,Neural,
YX_1009901001_L24,32,Intestine,
YX_1009901001_L3,4,Neoblast,
YX_1009901001_L4,10,Muscle,
YX_1009901001_L5,0,Muscle,
YX_1009901001_L7,15,Neoblast,
YX_1009901001_L8,34,Neural,
YX_1009901001_L9,0,Muscle,
YX_1009901001_M1,6,Muscle,
YX_1009901001_M10,11,Parenchymal,
YX_1009901001_M12,39,Parenchymal,
YX_1009901001_M13,42,Neural,
YX_1009901001_M14,1,Neoblast,
YX_1009901001_M15,1,Neoblast,
YX_1009901001_M16,12,Muscle,
YX_1009901001_M17,29,Muscle,
YX_1009901001_M18,22,Muscle,
YX_1009901001_M19,21,Parenchymal,
YX_1009901001_M2,1,Neoblast,
YX_1009901001_M20,6,Muscle,
YX_1009901001_M21,30,Neoblast,
YX_1009901001_M22,25,Neoblast,
YX_1009901001_M24,47,Parenchymal,
YX_1009901001_M3,16,Neural,
YX_1009901001_M5,31,Neural,
YX_1009901001_M8,12,Muscle,
YX_1009901001_M9,5,Cathepsin,
YX_1009901001_N10,23,Epidermal_prog1,
YX_1009901001_N14,20,Neural,
YX_1009901001_N15,17,Parenchymal,
YX_1009901001_N16,27,Neoblast,
YX_1009901001_N18,14,Neural,
YX_1009901001_N19,43,Flame cells,
YX_1009901001_N20,36,Neural,
YX_1009901001_N21,1,Neoblast,
YX_1009901001_N22,6,Muscle,
YX_1009901001_N23,22,Muscle,
YX_1009901001_N24,26,Neoblast,
YX_1009901001_N4,36,Neural,
YX_1009901001_N5,15,Neoblast,
YX_1009901001_N6,0,Muscle,
YX_1009901001_N7,8,Epidermal_prog3,
YX_1009901001_N9,21,Parenchymal,
YX_1009901001_O1,18,Neural,
YX_1009901001_O10,8,Epidermal_prog3,
YX_1009901001_O11,25,Neoblast,
YX_1009901001_O12,9,Muscle,
YX_1009901001_O13,12,Muscle,
YX_1009901001_O14,15,Neoblast,
YX_1009901001_O15,27,Neoblast,
YX_1009901001_O16,33,Parenchymal,
YX_1009901001_O17,15,Neoblast,
YX_1009901001_O18,6,Muscle,
YX_1009901001_O19,45,Muscle,
YX_1009901001_O2,9,Muscle,
YX_1009901001_O20,8,Epidermal_prog3,
YX_1009901001_O21,9,Muscle,
YX_1009901001_O3,6,Muscle,
YX_1009901001_O4,16,Epidermal1,
YX_1009901001_O5,38,Muscle,
YX_1009901001_O7,8,Epidermal_prog3,
YX_1009901001_O9,7,Neural,
YX_1009901001_P1,2,Epidermal1,
YX_1009901001_P10,32,Epidermal_prog3,
YX_1009901001_P12,0,Muscle,
YX_1009901001_P13,22,Muscle,
YX_1009901001_P15,4,Neoblast,
YX_1009901001_P16,0,Muscle,
YX_1009901001_P17,39,Gland,
YX_1009901001_P18,25,Parenchymal,
YX_1009901001_P19,23,Epidermal_prog1,
YX_1009901001_P2,0,Muscle,
YX_1009901001_P20,25,Parenchymal,
YX_1009901001_P21,1,Neoblast,
YX_1009901001_P4,5,Cathepsin,
YX_1009901001_P5,7,Neural,
YX_1009901001_P8,25,Neoblast,
YX_1009901002_A1,7,Neural,
YX_1009901002_A10,26,Neoblast,
YX_1009901002_A11,18,Neural,
YX_1009901002_A12,6,Muscle,
YX_1009901002_A13,15,Neoblast,
YX_1009901002_A14,0,Muscle,
YX_1009901002_A15,5,Cathepsin,
YX_1009901002_A16,16,Epidermal2,
YX_1009901002_A17,3,Parenchymal,
YX_1009901002_A18,35,Neural,
YX_1009901002_A19,3,Parenchymal,
YX_1009901002_A2,14,Neural,
YX_1009901002_A20,15,Neoblast,
YX_1009901002_A22,7,Neural,
YX_1009901002_A23,20,Neural,
YX_1009901002_A24,0,Muscle,
YX_1009901002_A3,20,Neural,
YX_1009901002_A4,6,Muscle,
YX_1009901002_A5,4,Neoblast,
YX_1009901002_A7,6,Muscle,
YX_1009901002_A8,33,Neural_KK7,
YX_1009901002_A9,14,Muscle,
YX_1009901002_B10,28,Neural,
YX_1009901002_B12,36,Neural,
YX_1009901002_B13,19,Neural,
YX_1009901002_B15,39,Neoblast,
YX_1009901002_B16,5,Cathepsin,
YX_1009901002_B17,0,Muscle,
YX_1009901002_B18,9,Muscle,
YX_1009901002_B19,15,Neoblast,
YX_1009901002_B22,12,Muscle,
YX_1009901002_B23,28,Neural,
YX_1009901002_B24,44,Neural,
